0,1,2,3,4,5
B02F38NUAO,,兴围烈士陵园纪念碑,风景名胜;风景名胜;纪念馆,后瑞社区后瑞新村瑞发路116号,"113.834161,22.640249"
B0FFFDNN1L,B0FFIY4PCG,世界之窗-美国华盛顿纪念碑,风景名胜;风景名胜;纪念馆,深南大道9037号世界之窗,"113.970227,22.534760"
B02F38NJ8I,B02F37V2O5,美国林肯纪念堂,风景名胜;风景名胜;纪念馆,深南大道9037号世界之窗,"113.969946,22.534756"
B0FFG2SPT3,,文天祥纪念馆,风景名胜;风景名胜;纪念馆,凤凰社区南区,"113.836485,22.691226"
B02F38JG9N,B02F37VJ1K,万丰粤剧非物质文化遗产纪念馆,风景名胜;风景名胜;纪念馆,中心路19号,"113.828663,22.725375"
B0FFK9AGC1,B02F30242A,中山公园-纪念碑,风景名胜;风景名胜;纪念馆,中山西街与南头梧桐街交叉口北120米,"113.918900,22.544841"
B0FFIKWQ4X,B0FFFSMZVZ,陈智熙纪念馆,风景名胜;风景名胜;纪念馆,北帝路壆岗荔枝公园东南侧约160米,"113.821848,22.732632"
B0FFGJ2UO6,,文天祥纪念馆,风景名胜;风景名胜;纪念馆,文山路涌头市场东南侧,"113.824778,22.802767"
B02F309ORB,,宝安一大纪念馆,风景名胜;风景名胜;纪念馆,燕罗街道公园路燕川文化广场西北,"113.864880,22.798686"
B0FFLC62Q0,,谢氏祠堂,风景名胜;风景名胜;纪念馆,龙眼山路龙腾苑西侧约30米,"113.945965,22.666234"
B0FFF4CO0S,,文天祥纪念馆,风景名胜;风景名胜;纪念馆,松岗东方大道东方村,"113.843584,22.763732"
B0FFJFFAPY,,妙音佛堂,风景名胜;风景名胜;纪念馆,新安二路164附近,"113.909901,22.567089"
B0HU4KIY3C,B03017UXQU,革命烈士纪念碑,风景名胜;风景名胜;纪念馆,将军街10号将军山烈士纪念公园,"113.812765,22.803081"
B0FFHLN93R,,一代国手冯国浩纪念馆,风景名胜;风景名胜;纪念馆,径贝华侨新村十三巷4勤业商务大厦附近,"113.876670,22.570295"
B0G27UE4HJ,B02F38UP8Y,朱罗记念馆,风景名胜;风景名胜;纪念馆,沙井中心路34形色城购物中心沙井店F1,"113.829697,22.722443"
B02F309ORA,,宝安抗日纪念馆,风景名胜;风景名胜;纪念馆,燕川北路209号附近,"113.865231,22.800487"
B0FFM35FG6,,陈荣根故里,风景名胜;风景名胜;纪念馆,环镇路幸福家园东南侧约40米,"113.811775,22.742162"
B0FFG28UGJ,B0FFK9I5IN,奥地利约翰·施特劳斯纪念碑,风景名胜;风景名胜;纪念馆,深南大道9037号世界之窗内,"113.973715,22.534481"
B0H2GSU40E,B0HBRO6DQW,宠爱(中国) 宠物善终·生命纪念馆,风景名胜;风景名胜;纪念馆,沙井街道鹏展汇1栋405,"113.829446,22.740488"
B0FFLK3RRP,,中共宝安县第一次代表大会(1928)纪念馆,风景名胜;风景名胜;纪念馆,公园路与怡情路交叉口北180米,"113.864740,22.798747"
B0FFKE01FC,B02F38TG4Q,老战士纪念馆,风景名胜;风景名胜;纪念馆,海上田园旅游区内望海楼旁边,"113.767920,22.722525"
B02F37WMJJ,,陈郁同志故居(暂停开放),风景名胜;风景名胜;纪念馆,南山村西巷234号,"113.913875,22.517265"
